                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.72727,                 0.4827,                0.10237,                0.66928,                0.54133,                0.55909,                0.35358,                0.51418,                0.55409,                0.05645,                 0.0001,                 0.0001,                 0.0001
                    138,                0.73702,                0.47725,                0.10231,                0.66664,                0.54114,                0.55845,                0.35281,                0.51388,                0.55523,                0.05599,                 0.0001,                 0.0001,                 0.0001
                    139,                0.73953,                0.47967,                0.10319,                0.66119,                0.54528,                0.55902,                0.35318,                0.51337,                0.55456,                0.05634,                 0.0001,                 0.0001,                 0.0001
                    140,                0.73704,                 0.4801,                0.10506,                0.66155,                0.54416,                0.55816,                0.35328,                 0.5125,                0.55472,                0.05639,                 0.0001,                 0.0001,                 0.0001
                    141,                0.73019,                0.48109,                0.10187,                0.67163,                0.54152,                0.56011,                0.35429,                  0.512,                0.55417,                0.05629,                 0.0001,                 0.0001,                 0.0001
                    142,                0.73584,                0.47737,                0.10285,                0.66976,                0.54157,                0.55985,                  0.354,                0.51168,                0.55473,                0.05648,                 0.0001,                 0.0001,                 0.0001
                    143,                0.73288,                0.47967,                0.10289,                0.66625,                  0.544,                0.55976,                0.35464,                0.51128,                 0.5552,                0.05602,                 0.0001,                 0.0001,                 0.0001
                    144,                0.73144,                0.47801,                0.10172,                0.66711,                0.54417,                0.56104,                0.35639,                0.51102,                0.55453,                0.05613,                 0.0001,                 0.0001,                 0.0001
                    145,                0.73398,                0.48242,                0.10177,                0.66831,                0.54536,                0.56297,                0.35768,                 0.5115,                0.55364,                0.05663,                 0.0001,                 0.0001,                 0.0001
                    146,                0.73809,                0.47696,                0.10512,                0.67264,                0.54332,                0.56269,                0.35672,                0.51085,                0.55432,                0.05661,                 0.0001,                 0.0001,                 0.0001
